Date_reported, New_cases
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,5
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,3
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,3
2020-03-12,0
2020-03-13,0
2020-03-14,3
2020-03-15,6
2020-03-16,5
2020-03-17,1
2020-03-18,0
2020-03-19,0
2020-03-20,-2
2020-03-21,0
2020-03-22,10
2020-03-23,6
2020-03-24,2
2020-03-25,32
2020-03-26,6
2020-03-27,11
2020-03-28,15
2020-03-29,8
2020-03-30,0
2020-03-31,52
2020-04-01,26
2020-04-02,43
2020-04-03,34
2020-04-04,1
2020-04-05,29
2020-04-06,38
2020-04-07,30
2020-04-08,56
2020-04-09,61
2020-04-10,37
2020-04-11,0
2020-04-12,34
2020-04-13,110
2020-04-14,49
2020-04-15,70
2020-04-16,10
2020-04-17,51
2020-04-18,63
2020-04-19,88
2020-04-20,0
2020-04-21,96
2020-04-22,84
2020-04-23,0
2020-04-24,50
2020-04-25,237
2020-04-26,0
2020-04-27,240
2020-04-28,124
2020-04-29,0
2020-04-30,344
2020-05-01,0
2020-05-02,298
2020-05-03,0
2020-05-04,0
2020-05-05,755
2020-05-06,168
2020-05-07,171
2020-05-08,0
2020-05-09,478
2020-05-10,361
2020-05-11,262
2020-05-12,303
2020-05-13,259
2020-05-14,113
2020-05-15,714
2020-05-16,349
2020-05-17,262
2020-05-18,408
2020-05-19,583
2020-05-20,490
2020-05-21,531
2020-05-22,540
2020-05-23,650
2020-05-24,716
2020-05-25,512
2020-05-26,737
2020-05-27,548
2020-05-28,637
2020-05-29,643
2020-05-30,784
2020-05-31,651
2020-06-01,656
2020-06-02,742
2020-06-03,775
2020-06-04,624
2020-06-05,1078
2020-06-06,582
2020-06-07,791
2020-06-08,575
2020-06-09,305
2020-06-10,920
2020-06-11,748
2020-06-12,656
2020-06-13,556
2020-06-14,664
2020-06-15,761
2020-06-16,106
2020-06-17,1241
2020-06-18,463
2020-06-19,541
2020-06-20,419
2020-06-21,536
2020-06-22,310
2020-06-23,338
2020-06-24,159
2020-06-25,535
2020-06-26,85
2020-06-27,356
2020-06-28,351
2020-06-29,271
2020-06-30,0
2020-07-01,524
2020-07-02,260
2020-07-03,302
2020-07-04,348
2020-07-05,279
2020-07-06,113
2020-07-07,320
2020-07-08,210
2020-07-09,59
2020-07-10,541
2020-07-11,157
2020-07-12,100
2020-07-13,0
2020-07-14,289
2020-07-15,200
2020-07-16,130
2020-07-17,159
2020-07-18,60
2020-07-19,186
2020-07-20,34
2020-07-21,106
2020-07-22,112
2020-07-23,188
2020-07-24,66
2020-07-25,55
2020-07-26,121
2020-07-27,106
2020-07-28,105
2020-07-29,103
2020-07-30,71
2020-07-31,0
2020-08-01,168
2020-08-02,0
2020-08-03,0
2020-08-04,37
2020-08-05,82
2020-08-06,67
2020-08-07,41
2020-08-08,78
2020-08-09,39
2020-08-10,0
2020-08-11,215
2020-08-12,76
2020-08-13,79
2020-08-14,7
2020-08-15,120
2020-08-16,45
2020-08-17,0
2020-08-18,3
2020-08-19,0
2020-08-20,160
2020-08-21,97
2020-08-22,38
2020-08-23,105
2020-08-24,55
2020-08-25,16
2020-08-26,1
2020-08-27,55
2020-08-28,14
2020-08-29,0
2020-08-30,3
2020-08-31,19
2020-09-01,34
2020-09-02,9
2020-09-03,83
2020-09-04,0
2020-09-05,16
2020-09-06,94
2020-09-07,0
2020-09-08,96
2020-09-09,50
2020-09-10,28
2020-09-11,0
2020-09-12,69
2020-09-13,0
2020-09-14,131
2020-09-15,30
2020-09-16,53
2020-09-17,17
2020-09-18,11
2020-09-19,36
2020-09-20,125
2020-09-21,30
2020-09-22,0
2020-09-23,22
2020-09-24,74
2020-09-25,0
2020-09-26,16
2020-09-27,41
2020-09-28,0
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,6
2020-03-10,4
2020-03-11,4
2020-03-12,13
2020-03-13,10
2020-03-14,5
2020-03-15,4
2020-03-16,9
2020-03-17,4
2020-03-18,4
2020-03-19,7
2020-03-20,0
2020-03-21,6
2020-03-22,0
2020-03-23,13
2020-03-24,34
2020-03-25,23
2020-03-26,28
2020-03-27,12
2020-03-28,11
2020-03-29,15
2020-03-30,11
2020-03-31,0
2020-04-01,20
2020-04-02,34
2020-04-03,0
2020-04-04,56
2020-04-05,0
2020-04-06,44
2020-04-07,0
2020-04-08,23
2020-04-09,9
2020-04-10,7
2020-04-11,0
2020-04-12,30
2020-04-13,0
2020-04-14,29
2020-04-15,0
2020-04-16,19
2020-04-17,24
2020-04-18,30
2020-04-19,0
2020-04-20,14
2020-04-21,47
2020-04-22,25
2020-04-23,0
2020-04-24,44
2020-04-25,0
2020-04-26,34
2020-04-27,14
2020-04-28,10
2020-04-29,30
2020-04-30,7
2020-05-01,0
2020-05-02,16
2020-05-03,6
2020-05-04,8
2020-05-05,17
2020-05-06,12
2020-05-07,0
2020-05-08,18
2020-05-09,6
2020-05-10,12
2020-05-11,0
2020-05-12,4
2020-05-13,4
2020-05-14,4
2020-05-15,18
2020-05-16,35
2020-05-17,13
2020-05-18,2
2020-05-19,0
2020-05-20,16
2020-05-21,5
2020-05-22,0
2020-05-23,12
2020-05-24,8
2020-05-25,15
2020-05-26,25
2020-05-27,21
2020-05-28,26
2020-05-29,23
2020-05-30,23
2020-05-31,14
2020-06-01,7
2020-06-02,21
2020-06-03,12
2020-06-04,21
2020-06-05,15
2020-06-06,20
2020-06-07,14
2020-06-08,17
2020-06-09,36
2020-06-10,42
2020-06-11,44
2020-06-12,31
2020-06-13,48
2020-06-14,57
2020-06-15,69
2020-06-16,82
2020-06-17,50
2020-06-18,66
2020-06-19,50
2020-06-20,0
2020-06-21,53
2020-06-22,104
2020-06-23,52
2020-06-24,67
2020-06-25,78
2020-06-26,77
2020-06-27,61
2020-06-28,72
2020-06-29,64
2020-06-30,69
2020-07-01,45
2020-07-02,82
2020-07-03,90
2020-07-04,67
2020-07-05,74
2020-07-06,71
2020-07-07,74
2020-07-08,68
2020-07-09,82
2020-07-10,90
2020-07-11,93
2020-07-12,0
2020-07-13,200
2020-07-14,96
2020-07-15,85
2020-07-16,99
2020-07-17,55
2020-07-18,0
2020-07-19,102
2020-07-20,82
2020-07-21,81
2020-07-22,119
2020-07-23,68
2020-07-24,108
2020-07-25,104
2020-07-26,67
2020-07-27,126
2020-07-28,117
2020-07-29,117
2020-07-30,108
2020-07-31,92
2020-08-01,79
2020-08-02,120
2020-08-03,123
2020-08-04,101
2020-08-05,130
2020-08-06,139
2020-08-07,127
2020-08-08,135
2020-08-09,124
2020-08-10,136
2020-08-11,125
2020-08-12,140
2020-08-13,141
2020-08-14,154
2020-08-15,146
2020-08-16,143
2020-08-17,120
2020-08-18,119
2020-08-19,155
2020-08-20,158
2020-08-21,155
2020-08-22,152
2020-08-23,156
2020-08-24,152
2020-08-25,178
2020-08-26,154
2020-08-27,168
2020-08-28,156
2020-08-29,112
2020-08-30,84
2020-08-31,101
2020-09-01,133
2020-09-02,93
2020-09-03,122
2020-09-04,116
2020-09-05,123
2020-09-06,135
2020-09-07,153
2020-09-08,151
2020-09-09,147
2020-09-10,151
2020-09-11,156
2020-09-12,161
2020-09-13,164
2020-09-14,168
2020-09-15,167
2020-09-16,152
2020-09-17,144
2020-09-18,132
2020-09-19,125
2020-09-20,153
2020-09-21,159
2020-09-22,150
2020-09-23,131
2020-09-24,121
2020-09-25,134
2020-09-26,124
2020-09-27,108
2020-01-03,0
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,5
2020-02-26,0
